Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ks/call  Ks/call  name    
  0.00   1250.30     0.00       15     0.00     0.01  ga_iter_lsolve_
  0.00   1250.30     0.00       15     0.00     0.00  gi_sum
  0.00   1250.30     0.00       15     0.00     0.00  memreq_
  0.00   1250.30     0.00       15     0.00     0.00  rohf_rotate_movecs_
  0.00   1250.30     0.00       15     0.00     0.00  scf_precond_select_
  0.00   1250.30     0.00       15     0.00     0.00  util_batch_job_time_remaining_
  0.00   1250.30     0.00       14     0.00     0.00  MD5Final
  0.00   1250.30     0.00       14     0.00     0.00  MD5Init
  0.00   1250.30     0.00       14     0.00     0.00  checksum_final
  0.00   1250.30     0.00       14     0.00     0.00  checksum_final_
  0.00   1250.30     0.00       14     0.00     0.00  checksum_init
  0.00   1250.30     0.00       14     0.00     0.00  checksum_init_
  0.00   1250.30     0.00       14     0.00     0.00  checksum_sum_to_string
  0.00   1250.30     0.00       14     0.00     0.01  rohf_search_precond_
  0.00   1250.30     0.00       14     0.00     0.00  util_test_time_remaining_
  0.00   1250.30     0.00       14     0.00     0.00  util_time_remaining_
  0.00   1250.30     0.00       12     0.00     0.00  rtdb_get_info
  0.00   1250.30     0.00       11     0.00     0.00  ga_iter_orthog_
  0.00   1250.30     0.00       10     0.00     0.00  bas_high_angular_
  0.00   1250.30     0.00       10     0.00     0.00  dstebz3_
  0.00   1250.30     0.00       10     0.00     0.00  gmax00
  0.00   1250.30     0.00       10     0.00     0.00  gsum01
  0.00   1250.30     0.00       10     0.00     0.00  mapdif_
  0.00   1250.30     0.00       10     0.00     0.00  mdiff1_
  0.00   1250.30     0.00       10     0.00     0.00  peigs_cmod_
  0.00   1250.30     0.00       10     0.00     0.00  pxerbla2_
  0.00   1250.30     0.00        9     0.00     0.00  bas_name_
  0.00   1250.30     0.00        9     0.00     0.00  hdbm_first_key
  0.00   1250.30     0.00        8     0.00     0.00  bas_rtdb_in_
  0.00   1250.30     0.00        8     0.00     0.00  inp_a_trunc_
  0.00   1250.30     0.00        8     0.00     0.00  rtdb_get_info_
  0.00   1250.30     0.00        7     0.00     0.00  bas_checksum_
  0.00   1250.30     0.00        7     0.00     0.00  bq_get_active_
  0.00   1250.30     0.00        7     0.00     0.00  geom_checksum_
  0.00   1250.30     0.00        7     0.00     0.00  inp_init_
  0.00   1250.30     0.00        7     0.00     0.00  movecs_write_
  0.00   1250.30     0.00        7     0.00     0.00  nmcoef_
  0.00   1250.30     0.00        6     0.00     0.00  bas_input_body_
  0.00   1250.30     0.00        6     0.00     0.00  inp_search_
  0.00   1250.30     0.00        6     0.00     0.00  inp_search_fast_
  0.00   1250.30     0.00        6     0.00     0.00  memory_env_get_
  0.00   1250.30     0.00        6     0.00     0.00  movecs_fix_phase_
  0.00   1250.30     0.00        6     0.00     0.00  rohf_canon_sub0_
  0.00   1250.30     0.00        6     0.00     0.00  scf_movecs_write_
  0.00   1250.30     0.00        6     0.00     0.00  sym_init_inv_op_
  0.00   1250.30     0.00        6     0.00     0.00  util_nwchemrc_get_
  0.00   1250.30     0.00        5     0.00     0.00  bas_add_ucnt_
  0.00   1250.30     0.00        5     0.00     0.00  bas_add_utag_
  0.00   1250.30     0.00        5     0.00     0.00  bas_get_coeff_
  0.00   1250.30     0.00        5     0.00     0.00  bas_get_exponent_
  0.00   1250.30     0.00        5     0.00     0.00  bas_summary_print_
  0.00   1250.30     0.00        5     0.00     0.00  clustrf5_
  0.00   1250.30     0.00        5     0.00     0.00  clustrfix_
  0.00   1250.30     0.00        5     0.00     0.00  clustrinv4_
  0.00   1250.30     0.00        5     0.00     0.00  clustrinv5_
  0.00   1250.30     0.00        5     0.00     0.00  dshellsort2_
